STOK KODU,STOK ADI,SEKTÖR ADI,MARKA,BARKOD 1,ÜRÜN GRUP KODU,AKS,CİNSİYET,UNIQ KOD,UNIQ ADI
SLY184025,SUN GLOW GEL (TUBE) 30 ML,SELEKTIF TEKLİ,SISLEY,3473311840257,1-MA-00,MAKYAJ,KADIN,SSL0000000156,SUN GLOW GEL (TUBE)
SLY184030,PHYTO TOUCHE ILLUSION D'ETE (CASE) 11 GR,SELEKTIF TEKLİ,SISLEY,3473311840301,1-MA-00,MAKYAJ,KADIN,SSL0000000155,PHYTO TOUCHE ILLUSION D'ETE (CASE)
SLY184032,PHYTO-TOUCHE ILLUSION D'ÉTÉ,SELEKTIF TEKLİ,SISLEY,3473311840325,1-MA-00,MAKYAJ,KADIN,,
SLY184040,PHYTO-TOUCHE GEL GLOW 30ml,SELEKTIF TEKLİ,SISLEY,3473311840400,1-MA-00,MAKYAJ,KADIN,,
SLY184041,PHYTO-TOUCHE GEL MATTE 30ml,SELEKTIF TEKLİ,SISLEY,3473311840417,1-MA-00,MAKYAJ,KADIN,,
SLY184400,PHYTO-TEINT PRIMER GLOW 30ml,SELEKTIF TEKLİ,SISLEY,3473311844002,1-MA-00,MAKYAJ,KADIN,,
SLY184401,PHYTO-TEINT PRIMER CORRECT SPF 25 30ml,SELEKTIF TEKLİ,SISLEY,3473311844019,1-MA-00,MAKYAJ,KADIN,,
SLY184402,PHYTO-TEINT PRIMER MATTE 30ml,SELEKTIF TEKLİ,SISLEY,3473311844026,1-MA-00,MAKYAJ,KADIN,,
SLY184590,INSTANT PERFECT 20G,SELEKTIF TEKLİ,SISLEY,3473311845009,1-MA-00,MAKYAJ,KADIN,,
SLY184700,"STYLO LUMIERE N°1 PEARLY ROSE 2,5 ML ",SELEKTIF TEKLİ,SISLEY,3473311847003,1-MA-00,MAKYAJ,KADIN,SSL0000000111,STYLO LUMIERE N°1 PEARLY ROSE
SLY184701,"STYLO LUMIERE N°2 PEACH ROSE 2,5 ML ",SELEKTIF TEKLİ,SISLEY,3473311847010,1-MA-00,MAKYAJ,KADIN,SSL0000000112,STYLO LUMIERE N°2 PEACH ROSE
SLY184702,"STYLO LUMIERE N° 3 SOFT BEIGE 2,5 ML ",SELEKTIF TEKLİ,SISLEY,3473311847027,1-MA-00,MAKYAJ,KADIN,SSL0000000113,STYLO LUMIERE N° 3 SOFT BEIGE
SLY184703,"STYLO LUMIERE N°4 GOLDEN BEIGE 2,5 ML ",SELEKTIF TEKLİ,SISLEY,3473311847034,1-MA-00,MAKYAJ,KADIN,SSL0000000114,STYLO LUMIERE N°4 GOLDEN BEIGE
SLY184720,STYLO CORRECT 000,SELEKTIF TEKLİ,SISLEY,3473311847201,1-MA-00,MAKYAJ,KADIN,,
SLY184721,STYLO CORRECT 00,SELEKTIF TEKLİ,SISLEY,3473311847218,1-MA-00,MAKYAJ,KADIN,,
SLY184722,STYLO CORRECT  0,SELEKTIF TEKLİ,SISLEY,3473311847225,1-MA-00,MAKYAJ,KADIN,,
SLY184724,STYLO CORRECT  2,SELEKTIF TEKLİ,SISLEY,3473311847249,1-MA-00,MAKYAJ,KADIN,,
SLY185311,"MASCARA SO INTENSE N°1 DEEP BLACK 7,5 ML",SELEKTIF TEKLİ,SISLEY,3473311853110,1-MA-00,MAKYAJ,KADIN,SSL0000000165,MASCARA SO INTENSE N°1 DEEP BLACK
SLY185312,"MASCARA SO INTENSE N°2 DEEP BROWN 7,5 ML",SELEKTIF TEKLİ,SISLEY,3473311853127,1-MA-00,MAKYAJ,KADIN,SSL0000000166,MASCARA SO INTENSE N°2 DEEP BROWN
