,,,,,,,,,,,,,,,
MARKA,Ürün Adı,BARKOD-1,REFERANS-1,BARKOD-2,REFERANS-2,BARKOD-3,REFERANS-3,BARKOD-4,REFERANS-4,BARKOD-5,REFERANS-5,BARKOD-6,REFERANS-6,UNIQ KOD,UNIQ ÜRÜN ADI
RABANNE,FAME EDP 80 ML,3349668594412,PPR65170086,,,,,,,,,,, PPR000000109, FAME EDP 80 ML
RABANNE,FAME EDP 50 ML,3349668594429,PPR65170087,,,,,,,,,,, PPR000000110, FAME EDT 50 ML
RABANNE,FAME DEO SPRAY 150 ML,3349668595174,PPR65170980,,,,,,,,,,, PPR000000111, FAME DEO SPRAY 150 ML
RABANNE,FAME PARFUM,,,,,,,,,,,,,,
RABANNE,FAME PARFUM 80 ML,3349668614660,PPR65188744,,,,,,,,,,, PPR000000124, FAME PARFUM 80 ML
RABANNE,FAME PARFUM 50 ML,3349668614653,PPR65188743,,,,,,,,,,, PPR000000125, FAME PARFUM 50 ML
RABANNE,FAME INTENSE,,,,,,,,,,,,,,
RABANNE,FAME INTENSE EDP 80 ML,3349668630448,PPR65200321,,,,,,,,,,, PPR000000135, FAME EDP INTENSE 80 ML
RABANNE,FAME INTENSE EDP 50 ML,3349668630110,PPR65200232,,,,,,,,,,, PPR000000136, FAME EDP INTENSE 50 ML
RABANNE,FAME PARFUM ELIXIR,,,,,,,,,,,,,,
RABANNE,FAME IN LOVE PARFUM ELIXIR 80 ML,3349668643929,PPR65215585,,,,,,,,,,,,
RABANNE,FAME IN LOVE PARFUM ELIXIR 50 ML,3349668643943,PPR65215587,,,,,,,,,,,,
RABANNE,KOFRE,,,,,,,,,,,,,,
RABANNE,MILLION GFH LE26 90 ML,3349668663187,PPR65228861,,,,,,,,,,,,
RABANNE,FAME WINTER COLLECTOR 80 ML,3349668669868,PPR65242941,,,,,,,,,,,,
RABANNE,MGFH EDP50 + FAMOUS BLACK MASCARA MD26,3349668664979,PPR65235067,,,,,,,,,,,,
RABANNE,MGFH MG10 + MINI MD26,3349668667208,PPR65240176,,,,,,,,,,,,
RABANNE,FAME EDP50 + FS ROCKSTAR MASCARA MD26,3349668664955,PPR65235065,,,,,,,,,,,,
RABANNE,MGFH EDP90+ MG10+MINI DRAMALIPS MD26,3349668664986,PPR65235068,,,,,,,,,,,,
RABANNE,LADY MILLION EDP 80 + BL100 MD26,3349668667086,PPR65240035,,,,,,,,,,,,
RABANNE,FAME EDP80+BL100 MD26,3349668667062,PPR65240033,,,,,,,,,,,,
